Возраст	Число доживающих  до данного возраста	Число умирающих в данном возрастном интервале	Вероятность умереть в данном возрасте	Вероятность дожить до конца возрастного интервала	Число живущих в данном возрастном интервале	Число человеко-лет жизни в возрасте старше данного	Ожидаемая продолжительность предстоящей жизни	Коэффициент дожития
0	100000	568	0,005683	0,994317	99533	6633669	66,34	0,995333
1	99432	59	0,000596	0,999404	99402	6534135	65,71	0,998681
2	99372	41	0,000408	0,999592	99352	6434733	64,75	0,999498
3	99332	35	0,000353	0,999647	99314	6335381	63,78	0,99962
4	99297	31	0,000308	0,999692	99281	6236067	62,80	0,999664
5	99266	31	0,000308	0,999692	99251	6136786	61,82	0,999698
6	99236	22	0,000222	0,999778	99224	6037535	60,84	0,999728
7	99214	22	0,000222	0,999778	99202	5938311	59,85	0,999778
8	99192	19	0,000187	0,999813	99182	5839109	58,87	0,999798
9	99173	19	0,000187	0,999813	99164	5739927	57,88	0,999819
10	99155	19	0,000187	0,999813	99145	5640763	56,89	0,999808
11	99136	21	0,000216	0,999784	99125	5541618	55,90	0,999798
12	99115	21	0,000216	0,999784	99104	5442493	54,91	0,999788
13	99093	35	0,000356	0,999644	99076	5343389	53,92	0,999717
14	99058	35	0,000356	0,999644	99041	5244313	52,94	0,999647
15	99023	51	0,000511	0,999489	99000	5145272	51,96	0,999586
16	98972	100	0,001011	0,998989	98924	5046272	50,99	0,999232
17	98872	88	0,00089	0,99911	98827	4947348	50,04	0,999019
18	98784	78	0,000788	0,999212	98748	4848521	49,08	0,999201
19	98706	157	0,001591	0,998409	98631	4749773	48,12	0,998815
20	98549	155	0,001573	0,998427	98472	4651142	47,20	0,998388
21	98394	171	0,001738	0,998262	98309	4552670	46,27	0,998345
22	98223	164	0,001674	0,998326	98142	4454361	45,35	0,998301
23	98059	187	0,001903	0,998097	97968	4356219	44,42	0,998227
24	97872	219	0,002234	0,997766	97763	4258251	43,51	0,997907
25	97654	190	0,001944	0,998056	97557	4160488	42,60	0,997893
26	97464	182	0,001863	0,998137	97375	4062931	41,69	0,998134
27	97282	252	0,002586	0,997414	97162	3965556	40,76	0,997813
28	97031	318	0,003278	0,996722	96877	3868394	39,87	0,997067
29	96712	372	0,003843	0,996157	96530	3771517	39,00	0,996418
30	96341	402	0,004168	0,995832	96139	3674987	38,15	0,995949
31	95939	354	0,003693	0,996307	95763	3578848	37,30	0,996089
32	95585	427	0,004467	0,995533	95374	3483085	36,44	0,995938
33	95158	415	0,004361	0,995639	94955	3387711	35,60	0,995607
34	94743	531	0,005607	0,994393	94487	3292756	34,75	0,995071
35	94212	641	0,006807	0,993193	93898	3198269	33,95	0,993766
36	93570	689	0,007368	0,992632	93226	3104371	33,18	0,992843
37	92881	652	0,007016	0,992984	92555	3011145	32,42	0,992802
38	92229	695	0,007533	0,992467	91884	2918590	31,64	0,99275
39	91535	700	0,007644	0,992356	91191	2826706	30,88	0,992458
40	90835	853	0,009388	0,990612	90418	2735515	30,12	0,991523
41	89982	919	0,010216	0,989784	89524	2645097	29,40	0,990113
42	89063	881	0,009895	0,990105	88614	2555573	28,69	0,989835
43	88182	726	0,008231	0,991769	87820	2466959	27,98	0,99104
44	87456	902	0,010315	0,989685	87004	2379139	27,20	0,990708
45	86554	699	0,008076	0,991924	86202	2292135	26,48	0,990782
46	85855	842	0,009809	0,990191	85437	2205933	25,69	0,991125
47	85013	776	0,009127	0,990873	84623	2120496	24,94	0,990473
48	84237	804	0,009539	0,990461	83837	2035873	24,17	0,990712
49	83433	823	0,009865	0,990135	83032	1952036	23,40	0,990398
50	82610	1043	0,012623	0,987377	82106	1869004	22,62	0,988848
51	81567	1236	0,015151	0,984849	80946	1786898	21,91	0,985872
52	80332	970	0,012074	0,987926	79844	1705952	21,24	0,986386
53	79362	1183	0,014912	0,985088	78772	1626108	20,49	0,986574
54	78178	1019	0,013037	0,986963	77672	1547336	19,79	0,986036
55	77159	1259	0,016311	0,983689	76546	1469664	19,05	0,985503
56	75900	1423	0,018742	0,981258	75193	1393118	18,35	0,982324
57	74478	1348	0,018098	0,981902	73814	1317925	17,70	0,981661
58	73130	1658	0,022666	0,977334	72309	1244111	17,01	0,979611
59	71472	1535	0,021475	0,978525	70714	1171802	16,40	0,977942
60	69938	1865	0,026663	0,973337	69018	1101088	15,74	0,976016
61	68073	1831	0,026904	0,973096	67171	1032070	15,16	0,973239
62	66241	2196	0,033149	0,966851	65156	964899	14,57	0,970002
63	64046	2140	0,03342	0,96658	62972	899743	14,05	0,96648
64	61905	2121	0,034268	0,965732	60848	836771	13,52	0,966271
65	59784	2226	0,03723	0,96277	58673	775923	12,98	0,964255
66	57558	2171	0,03771	0,96229	56471	717250	12,46	0,96247
